datetime,Carga [TSS/d],Solidos a quemado [%],Temperatura LN a boquillas [°C],Primario,Secundario,Secundario Alto,Terciario,Cuaternario,Control APC Flujo aire a anillo cuaternario,Aire de combustión/ carga de licor [Nm3/kg DS],Temperatura de gases de salida [°C],gen_vap_licor [ton/kg DS],Temperatura de salida vapor [°C],Atemperacion [°C],Soiling_rate_point,Diff_Press_SC [kPa],Diff_Press_BG [kPa],Diff_Press_ECO1 [kPa],Diff_Press_ECO2 [kPa],heat_coef_SH1 [kJ/m2C],heat_coef_SH2 [kJ/m2C],heat_coef_SH3 [kJ/m2C],heat_coef_SH4 [kJ/m2C],reduction_ins [%],alcali_lv_ins [g/L],sulfidez_ins [%],reduction_lab [%],alcali_lv_lab [g/L],sulfidez_lab [%],NOx [mg/Nm³],Material particulado [mg/Nm³],SO2 [mg/Nm³],TRS [mg/Nm³],O2_cont_left [%],O2_cont_center [%],O2_cont_right [%],CO_cont_left_wall [%],CO_cont_center [%],CO_cont_right_wall [%]
2025-02-22 10:40:00,5678.75537109375,79.04188537597656,140.18287658691406,0.22838200001997758,0.2809254677276319,0.2378296771007558,0.13092135159688628,0.1219415035547484,7.0,3.248027631512084,137.28313064575195,0.0007148164440877736,367.86383056640625,232.75985145568848,-44253.74055299318,-0.1117975190281868,0.31633391976356506,0.879892036318779,0.6246989965438843,0.7548537850379944,1.0354630947113037,0.49434977769851685,25.399551391601562,87.65328979492188,167.0604705810547,26.211456298828125,90.48999786376953,172.0800018310547,27.436140060424805,232.2684783935547,1.0123220682144165,51.994720458984375,0.7114326357841492,3.272955894470215,4.058389186859131,4.542029857635498,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 10:50:00,5660.82470703125,79.03486633300781,140.16436767578125,0.22828447752376677,0.2810872570838476,0.23849230045986594,0.13037276613509724,0.1217631987974225,7.0,3.2679046121105957,137.28313064575195,-0.02741525135934353,367.33013916015625,238.15410804748535,-43678.67064354639,-0.10590561851859093,0.27476102113723755,0.8974359631538391,0.640553891658783,0.7760397791862488,1.0707194805145264,0.45104721188545227,25.29384994506836,89.17921447753906,164.70443725585938,25.118892669677734,90.48999786376953,172.0800018310547,27.436140060424805,235.31451416015625,1.0348798036575317,43.58662796020508,0.7710487842559814,3.343972682952881,4.084678649902344,4.602267742156982,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 11:00:00,5636.7099609375,79.02784729003906,140.1556854248047,0.228606266469745,0.2799246095665493,0.23879114822390965,0.1301699216439368,0.12250805409585926,7.0,3.298876645207867,137.11651229858398,-0.08208741247653961,365.0080261230469,241.53853797912598,-43824.03039538768,-0.10546184331178665,0.27090370655059814,0.8841684311628342,0.6336135864257812,0.77288818359375,1.062601089477539,0.444421648979187,27.574655532836914,89.17921447753906,164.70443725585938,25.118892669677734,90.48999786376953,172.0800018310547,27.436140060424805,232.0100555419922,0.7045759558677673,53.38573455810547,0.8277193903923035,3.3401036262512207,4.046306133270264,4.44719123840332,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 11:10:00,5640.8359375,79.01131439208984,140.1697998046875,0.22886046913631555,0.28095244281930104,0.2381498048873272,0.12929733843098548,0.1227399447260707,7.0,3.3010235377278137,137.0794219970703,-0.06996453553438187,367.7454833984375,238.41457557678223,-43979.267360804755,-0.1925848424434662,0.2947833389043808,0.9004905819892883,0.6503628194332123,0.7789528369903564,1.0941052436828613,0.4707507789134979,34.78395080566406,90.01847076416016,161.3291015625,27.316225051879883,90.48999786376953,172.0800018310547,27.436140060424805,228.73944091796875,0.9916566610336304,54.5511474609375,0.6565002799034119,3.2117350101470947,3.999725341796875,4.425657272338867,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 11:20:00,5636.84228515625,79.00691986083984,140.2197265625,0.23011190852074656,0.28118558178158903,0.23863392997258556,0.13047609093679963,0.1195924887882792,7.0,3.299857932557438,137.0794219970703,-0.038263849914073944,367.7454833984375,241.7507266998291,-42710.62508752715,-0.10201609879732132,0.29560011625289917,0.880405455827713,0.6206401586532593,0.7640714049339294,1.0591906309127808,0.4934898614883423,31.266040802001953,89.97879791259766,156.63534545898438,28.298921585083008,90.48999786376953,172.0800018310547,27.436140060424805,217.7234344482422,1.7311595678329468,54.50154495239258,0.7062021493911743,3.121202230453491,3.883028268814087,4.474533557891846,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 11:30:00,5667.923828125,78.99871826171875,140.0819091796875,0.2285391862146535,0.2793212351864721,0.23980423150952868,0.12991460828686552,0.12242073880248022,7.0,3.2779905431710863,137.10410690307617,-0.04620134457945824,366.9146728515625,227.78985023498535,-43349.597010048274,-0.09844035655260086,0.32142071425914764,0.8860322386026382,0.6360310912132263,0.7652958035469055,1.0856316089630127,0.49231529235839844,31.544031143188477,89.97879791259766,156.63534545898438,28.298921585083008,90.48999786376953,172.0800018310547,27.436140060424805,233.02639770507812,1.842283010482788,42.812042236328125,0.7571673393249512,3.2082326412200928,3.969632387161255,4.391102313995361,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 11:40:00,5637.25927734375,78.9954605102539,140.09274291992188,0.22982842924558944,0.2818715524470536,0.24037206430281377,0.1286704700035455,0.11925748400099771,7.0,3.284774559690092,137.0267791748047,-0.023315520957112312,367.913330078125,233.3582706451416,-41004.94292144335,-0.1388944461941719,0.2844485938549042,0.9104796200990677,0.6452238261699677,0.768775463104248,1.0995844602584839,0.4575297236442566,29.9432430267334,89.79568481445312,155.42071533203125,27.993736267089844,90.48999786376953,172.0800018310547,27.436140060424805,223.1861572265625,0.9876513481140137,45.57958984375,0.660423755645752,3.1927003860473633,3.9842147827148438,4.363084316253662,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 11:50:00,5636.619140625,78.9747543334961,140.1090087890625,0.22928028777449425,0.28142720589919656,0.24121909990285972,0.12953936997987797,0.1185340364435715,7.0,3.290283839475334,136.91576766967773,-0.10347159206867218,366.02734375,251.44240760803223,-41544.15552559148,-0.18785308301448822,0.28191153705120087,0.8709079474210739,0.6074920296669006,0.7561255693435669,1.024756669998169,0.5017923712730408,29.597017288208008,89.79568481445312,155.42071533203125,27.993736267089844,90.48999786376953,172.0800018310547,27.436140060424805,238.42550659179688,2.2023370265960693,48.33469009399414,5.682528495788574,3.1675033569335938,4.012857913970947,4.45012903213501,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 12:00:00,5654.77392578125,78.9747543334961,140.08628845214844,0.2287348258343261,0.2808907368705603,0.237897447517844,0.13063872314811112,0.12183826662915845,7.0,3.3044889671225492,136.8368034362793,-0.05083588883280754,362.79351806640625,261.53972816467285,-46647.015339856254,-0.09636440873146057,0.26986268162727356,0.8899538666009903,0.6289008259773254,0.7673596143722534,1.0616341829299927,0.4516933858394623,26.075502395629883,89.80789184570312,156.96495056152344,27.804521560668945,90.48999786376953,172.0800018310547,27.436140060424805,233.55262756347656,1.0636258125305176,54.22290802001953,1.5048290491104126,2.8706886768341064,4.100757598876953,5.408487319946289,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-22 12:10:00,5651.71630859375,78.97648620605469,140.06781005859375,0.22689563704479337,0.27736464051642923,0.23615125881587515,0.13422665233231496,0.12536181129058727,7.0,3.327562631131739,136.8368034362793,-0.05490821227431297,365.0080261230469,236.74248695373535,-42762.10915809903,-0.07568110525608063,0.2726903110742569,0.9267532229423523,0.6623308658599854,0.7795164585113525,1.1003446578979492,0.4633295238018036,28.005084991455078,89.80789184570312,156.96495056152344,28.018152236938477,90.48999786376953,172.0800018310547,27.436140060424805,248.51307678222656,1.1605125665664673,64.0176773071289,0.8412391543388367,2.8285505771636963,3.984208106994629,5.071576118469238,4.211490154266357,3.2959487438201904,2.1057450771331787
